City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,port mathurin,-19.6833,63.4167,23.4,75,62,9.98,MU,1689748570
1,martapura,-3.4167,114.85,32.05,66,40,3.6,ID,1689748570
2,lebu,-37.6167,-73.65,11.36,96,100,5.96,CL,1689748570
3,port-aux-francais,-49.35,70.2167,2.08,70,100,12.14,TF,1689748570
4,khandyga,62.6667,135.6,23.38,51,96,1.38,RU,1689748570
5,crane,31.3974,-102.3501,29.97,29,6,8.5,US,1689748570
6,pointe-noire,-4.7761,11.8635,23.04,94,75,2.06,CG,1689748571
7,yallahs,17.8748,-76.5624,28.85,87,100,4.68,JM,1689748571
8,avarua,-21.2078,-159.775,22.03,56,20,3.09,CK,1689748571
9,oltinko'l,40.8011,72.1634,41.53,11,0,4.75,UZ,1689748571
10,jose maria morelos,23.3952,-103.8984,17.66,38,7,2.47,MX,1689748571
11,grytviken,-54.2811,-36.5092,-0.19,93,100,4.79,GS,1689748571
12,edinburgh of the seven seas,-37.0676,-12.3116,15.13,92,100,8.81,SH,1689748572
13,margaret river,-33.95,115.0667,12.43,54,96,10.54,AU,1689748572
14,adamstown,-25.066,-130.1015,21.97,81,71,2.8,PN,1689747807
15,wangjing,24.6,94.0333,32.64,52,20,0.9,IN,1689748052
16,ushuaia,-54.8,-68.3,2.81,75,0,2.57,AR,1689748285
17,ostersund,63.1792,14.6357,11.25,35,40,1.54,SE,1689748572
18,albany,42.6001,-73.9662,18.91,97,0,1.94,US,1689748572
19,brisas de zicatela,15.8369,-97.0419,27.07,77,78,2.7,MX,1689748572
20,atafu village,-8.5421,-172.5159,28.74,75,98,7.0,TK,1689748573
21,iqaluit,63.7506,-68.5145,6.85,100,100,1.03,CA,1689748573
22,eyl,7.9803,49.8164,28.84,54,34,13.23,SO,1689748053
23,puerto ayora,-0.7393,-90.3518,25.31,94,35,2.24,EC,1689748053
24,francistown,-21.17,27.5079,12.9,36,0,1.58,BW,1689748053
25,kokoda,-8.8785,147.7407,26.8,72,64,0.17,PG,1689748573
26,susuman,62.7833,148.1667,28.04,27,53,3.72,RU,1689748573
27,longyearbyen,78.2186,15.6401,9.91,71,40,1.54,SJ,1689748573
28,waitangi,-43.9535,-176.5597,12.12,92,16,0.89,NZ,1689748573
29,yellowknife,62.456,-114.3525,18.29,68,100,1.54,CA,1689748574
30,selfoss,63.9331,-20.9971,9.47,69,84,2.62,IS,1689748574
31,apostolove,47.66,33.7137,24.49,36,62,3.61,UA,1689748574
32,portland,45.5234,-122.6762,23.96,53,0,4.12,US,1689748249
33,blackmans bay,-43.0167,147.3167,8.07,75,54,1.99,AU,1689748574
34,klyuchi,52.2667,79.1667,31.94,25,98,3.66,RU,1689748574
35,sitka,57.0531,-135.33,13.94,88,100,5.14,US,1689748575
36,braniewo,54.3797,19.8196,18.47,62,100,5.35,PL,1689748575
37,kodiak,57.79,-152.4072,13.73,88,100,1.54,US,1689748575
38,stanley,54.868,-1.6985,13.49,94,40,2.06,GB,1689748575
39,bethel,41.3712,-73.414,22.17,87,0,1.54,US,1689748575
40,zhuangyuan,37.2975,120.8256,34.46,31,0,1.56,CN,1689748575
41,shahrud,36.4182,54.9763,26.97,38,2,7.87,IR,1689748576
42,bonthe,7.5264,-12.505,23.99,94,100,2.02,SL,1689748576
43,yaritagua,10.08,-69.1261,24.59,98,100,1.18,VE,1689748576
44,indianola,41.3581,-93.5574,19.27,85,14,2.08,US,1689748576
45,coquimbo,-29.9533,-71.3436,13.85,88,75,2.57,CL,1689748288
46,manokwari,-0.8667,134.0833,28.74,76,61,2.17,ID,1689748576
47,kirando,-7.4167,30.6,24.32,44,49,1.42,TZ,1689748576
48,kailua-kona,19.6406,-155.9956,27.98,83,75,5.14,US,1689748577
49,bredasdorp,-34.5322,20.0403,8.81,72,100,2.8,ZA,1689748577
50,darwin,-12.4611,130.8418,31.99,25,0,2.57,AU,1689748493
51,tumayr,25.7039,45.868,40.59,6,0,0.8,SA,1689748577
52,soledad de graciano sanchez,22.2,-100.95,17.9,68,20,2.57,MX,1689748577
53,talnakh,69.4865,88.3972,14.4,55,97,3.53,RU,1689748577
54,atmakur,15.8833,78.5833,24.19,88,100,7.54,IN,1689748577
55,tura,25.5198,90.2201,31.96,68,96,1.59,IN,1689748578
56,invercargill,-46.4,168.35,8.13,95,100,4.01,NZ,1689748578
57,anadyr,64.75,177.4833,20.28,60,0,5.0,RU,1689748578
58,alice springs,-23.7,133.8833,21.75,28,7,3.6,AU,1689748578
59,tlahualilo de zaragoza,26.1167,-103.45,27.98,27,0,4.11,MX,1689748579
60,aykhal,66.0,111.5,22.51,38,84,8.96,RU,1689748579
61,haiku-pauwela,20.9219,-156.3051,25.01,86,75,7.2,US,1689748579
62,georgetown,5.4112,100.3354,26.97,83,20,1.54,MY,1689748362
63,whitehorse,60.7161,-135.0538,14.43,82,75,3.6,CA,1689748446
64,fauske,67.2588,15.3918,14.02,83,98,2.46,NO,1689748579
65,san antonio de pale,-1.4014,5.6325,23.35,88,100,4.61,GQ,1689748579
66,olonkinbyen,70.9221,-8.7187,4.78,92,100,5.61,SJ,1689748580
67,nova vicosa,-17.8919,-39.3719,20.89,88,7,2.22,BR,1689748580
68,santa cruz,-17.8,-63.1667,14.7,67,100,5.66,BO,1689748580
69,kaohsiung,22.6163,120.3133,32.05,89,75,4.63,TW,1689748580
70,salinopolis,-0.6136,-47.3561,24.95,88,46,3.93,BR,1689748580
71,port elizabeth,-33.918,25.5701,11.17,87,40,10.29,ZA,1689748580
